title,ingredients,steps
"""Garang Asem Sehat""","""1) Ayam 2) Bawang merah 3) Bawang putih 4) Tomat 5) Cabe rawit 6) Daun salam 7) Daun jeruk 8) Asam jawa 9) Garam 10) Air kelapa muda""","""1) Tumis bumbu halus (bawang merah, bawang putih, cabe rawit, tomat) hingga harum. Jangan terburu-buru, biarkan bumbu keluar aromanya dengan api sedang. 2) Tambahkan daun salam, daun jeruk, dan asam jawa yang telah diseduh. 3) Masukkan ayam yang telah dipotong, lalu tambahkan air kelapa muda yang segar. Rasakan perpaduan rasa antara asin dan sedikit asam dari asam jawa. 4) Tambahkan sedikit garam untuk memperkuat rasa. Masak hingga ayam empuk dan bumbu meresap, sekitar 40 menit. 5) Sajikan dengan nasi merah untuk menambah serat dan gizi."""
"""Gudeg Sehat""","""1) Nangka muda 2) Ayam kampung 3) Bawang merah 4) Bawang putih 5) Kemiri 6) Daun salam 7) Daun jeruk 8) Gula kelapa 9) Santan 10) Garam""","""1) Rebus nangka muda dengan daun salam dan daun jeruk hingga empuk. Pastikan air rebusan cukup banyak untuk membantu empuknya nangka. 2) Tumis bumbu halus (bawang merah, bawang putih, kemiri) dengan api kecil hingga harum. 3) Masukkan ayam yang telah dipotong, tumis bersama bumbu hingga ayam berubah warna. 4) Tambahkan nangka yang telah direbus, santan, gula kelapa, dan garam. Aduk rata, kemudian masak dengan api kecil hingga santan menyusut dan bumbu meresap. 5) Sajikan dengan nasi merah, yang memberikan keseimbangan antara rasa manis dari gudeg dan gizi dari nasi merah."""
"""Ikan Bakar Sehat""","""1) Ikan segar 2) Bawang merah 3) Bawang putih 4) Cabai merah 5) Jahe 6) Kecap manis 7) Air jeruk nipis 8) Daun pisang""","""1) Haluskan bawang merah, bawang putih, cabai merah, dan jahe dengan menggunakan cobek atau blender. Campurkan bumbu halus dengan sedikit kecap manis, garam, dan air jeruk nipis. 2) Lumuri ikan dengan bumbu yang telah dibuat, pastikan semua bagian ikan tertutup rata. Diamkan selama 30 menit agar bumbu meresap. 3) Bungkus ikan dengan daun pisang agar rasa tetap terjaga saat dibakar. Bakar ikan dengan api kecil hingga matang, selama 10-15 menit per sisi. 4) Angkat ikan, sajikan bersama nasi merah yang kaya akan serat, dan taburkan sedikit daun kemangi untuk aroma segar."""
"""Ikan Goreng Sehat""","""1) Ikan segar (jenis sesuai selera) 2) Bawang putih 3) Garam himalaya 4) Merica 5) Minyak kelapa murni""","""1) Lumuri ikan segar dengan bawang putih yang sudah dihaluskan, garam himalaya, dan merica. Diamkan selama 15 menit agar bumbu meresap. 2) Gunakan minyak kelapa murni yang lebih sehat untuk menggoreng. Sebaiknya gunakan sedikit minyak atau gunakan metode panggang atau air fryer untuk mengurangi penggunaan minyak. 3) Jika menggoreng, gunakan api sedang hingga ikan berwarna kecoklatan dan matang sempurna. Jangan terlalu lama menggoreng agar ikan tetap lembut dan tidak kehilangan kandungan nutrisinya. 4) Angkat ikan dan tiriskan dengan menggunakan tisu dapur untuk mengurangi sisa minyak. Sajikan ikan goreng dengan nasi merah atau quinoa sebagai sumber karbohidrat kompleks, yang lebih sehat dan kaya serat."""
"""Kentang Balado Sehat""","""1) Kentang 2) Cabai merah 3) Bawang merah 4) Bawang putih 5) Tomat 6) Garam 7) Minyak zaitun""","""1) Kupas kentang, potong-potong sesuai selera, dan rebus hingga empuk. Tiriskan dan sisihkan. 2) Haluskan cabai merah, bawang merah, bawang putih, dan tomat hingga menjadi pasta halus. 3) Panaskan minyak zaitun dalam wajan, tumis bumbu halus hingga harum dan matang. 4) Tambahkan kentang yang sudah direbus, aduk rata hingga kentang terbalut bumbu. 5) Masak dengan api kecil hingga bumbu meresap dan sedikit mengental. 6) Koreksi rasa, tambahkan garam secukupnya, lalu sajikan."""
"""Mie Goreng Shirataki""","""1) Mie shirataki 2) Tahu 3) Wortel 4) Bawang putih 5) Kecap manis rendah gula 6) Saus tiram rendah sodium 7) Daun bawang 8) Telur""","""1) Rebus mie shirataki sesuai petunjuk hingga matang, tiriskan dan sisihkan. 2) Potong wortel kecil-kecil dan tahu menjadi kotak kecil. 3) Panaskan sedikit minyak di wajan, tumis bawang putih hingga harum. 4) Tambahkan wortel dan tahu, masak hingga wortel sedikit lunak dan tahu berwarna kecoklatan. 5) Pindahkan mie ke dalam wajan, aduk rata dengan sayuran dan tahu. 6) Tambahkan kecap manis dan saus tiram, aduk rata hingga mie terbalut bumbu. 7) Masukkan telur, orak-arik hingga matang dan tercampur rata dengan mie. 8) Terakhir, tambahkan daun bawang dan aduk sekali lagi. Sajikan."""
"""Nasi Merah Bakar""","""1) Nasi merah 2) Ayam suwir 3) Daun salam 4) Daun jeruk 5) Bawang merah 6) Bawang putih 7) Cabai merah 8) Kecap manis rendah gula 9) Dayn Pisang""","""1) Siapkan nasi merah yang sudah matang dan agak dingin. 2) Tumis bawang merah, bawang putih, dan cabai merah hingga harum. 3) Masukkan ayam suwir, daun salam, dan daun jeruk. Aduk rata dan masak sebentar hingga bumbu meresap. 4) Ambil nasi merah, campurkan dengan ayam suwir dan bumbu, aduk rata. 5) Bungkus nasi dalam daun pisang dan rapatkan. 6) Panggang nasi di atas pemanggang atau teflon dengan api kecil selama sekitar 10–15 menit hingga beraroma wangi. 7) Sajikan nasi bakar selagi hangat."""
"""Nasi Goreng Sehat""","""1) Nasi merah atau nasi cokelat 2) Bawang putih 3) Bawang merah 4) Wortel 5) Kacang polong 6) Brokoli atau paprika (opsional) 7) Telur 8) Kecap tamari (alternatif rendah garam) 9) Minyak zaitun atau minyak kelapa 10) Minyak wijen 11) Daun bawang 12) Biji wijen (opsional) 13) Alpukat atau seledri (untuk pelengkap)""","""1) Panaskan sedikit minyak zaitun atau minyak kelapa dalam wajan, tumis bawang putih dan bawang merah hingga harum. 2) Masukkan wortel, kacang polong, dan sayuran lainnya (seperti brokoli atau paprika), masak sebentar hingga sayuran sedikit layu namun tetap renyah. 3) Tambahkan nasi merah atau nasi cokelat yang sudah dingin, aduk rata hingga nasi terpisah-pisah. 4) Pukul telur  dalam wajan dan orak-arik hingga matang, aduk bersama nasi. 5) Tambahkan kecap tamari (alternatif rendah garam) dan sedikit minyak wijen untuk rasa yang lebih kaya, aduk rata hingga bumbu tercampur dengan baik. 6) Terakhir, tambahkan daun bawang dan sedikit biji wijen, aduk sebentar. 7) Sajikan nasi goreng panas dengan tambahan potongan alpukat atau seledri untuk ekstra gizi."""
"""Nasi Kuning Sehat""","""1) Nasi 2) Kunyit 3) Daun salam 4) Daun jeruk 5) Serai 6) Santan rendah lemak 7) Garam""","""1) Rebus santan dengan daun salam, daun jeruk, serai, dan kunyit hingga harum. Pastikan santan tidak mendidih terlalu keras untuk menghindari pemisahan. 2) Cuci beras hingga bersih, lalu masak beras dengan santan yang sudah dipersiapkan tadi. Tambahkan sedikit garam. 3) Masak dengan api kecil hingga nasi matang dan bumbu meresap, sesekali aduk agar nasi tidak lengket. 4) Angkat dan diamkan selama beberapa menit, kemudian sajikan nasi kuning yang harum dan lembut."""
"""Nasi Merah""","""1) Nasi merah 2) Air 3) Daun salam 4) Daun jeruk 5) Garam""","""1) Cuci beras merah hingga bersih dan tiriskan. 2) Rebus air dalam panci dengan daun salam, daun jeruk, dan sedikit garam. 3) Setelah air mendidih, masukkan beras merah dan masak dengan api kecil. Aduk sesekali agar nasi tidak lengket. 4) Tutup panci dan biarkan nasi matang dengan api kecil selama 20-25 menit. 5) Diamkan selama beberapa menit agar nasi lebih pulen, lalu sajikan."""
"""Nasi Rames Sehat""","""1) Nasi putih atau merah 2) Daging ayam suwir 3) Tempe goreng 4) Tahu goreng 5) Sayuran (kangkung, kacang panjang) 6) Sambal terasi 7) Telur rebus""","""1) Masak nasi putih atau merah sesuai petunjuk hingga matang. 2) Goreng tempe dan tahu hingga kecoklatan dan tiriskan. 3) Tumis kangkung dan kacang panjang hingga matang dan sedikit layu. 4) Rebus telur hingga matang. 5) Sajikan nasi dengan tempe, tahu, ayam suwir, sambal terasi, dan telur rebus di sampingnya. 6) Nikmati nasi rames yang kaya protein dan serat."""
"""Opor Ayam Sehat""","""Ayam tanpa kulit 2) Bawang merah 3) Bawang putih 4) Jahe 5) Kunyit 6) Serai 7) Daun salam 8) Daun jeruk 9) Santan rendah lemak 10) Garam himalaya 11) Minyak zaitun""","""1) Rebus ayam tanpa kulit dalam air hingga empuk, buang busanya agar kuah tetap jernih. 2) Tumis bawang merah, bawang putih, jahe, kunyit, dan serai dengan sedikit minyak zaitun hingga harum. 3) Masukkan ayam yang sudah direbus, daun salam, daun jeruk, dan santan rendah lemak ke dalam wajan. 4) Masak dengan api kecil hingga bumbu meresap dan kuah mengental. 5) Tambahkan garam himalaya secukupnya. 6) Sajikan opor ayam dengan nasi merah atau nasi kelapa untuk pilihan lebih sehat."""
"""Pecel Sayur""","""1) Sayuran hijau (selada, bayam, kangkung) 2) Tahu 3) Tempe 4) Kacang tanah 5) Cabai merah 6) Bawang putih 7) Gula kelapa 8) Air jeruk nipis 9) Kecap tamari rendah sodium""","""1) Rebus sayuran hijau seperti selada, bayam, dan kangkung hingga layu, kemudian tiriskan. 2) Panggang tahu dan tempe dengan sedikit minyak kelapa hingga kecoklatan dan tiriskan. 3) Haluskan kacang tanah, cabai merah, bawang putih, dan gula kelapa, tambahkan sedikit air jeruk nipis untuk kesegaran. 4) Sajikan sayuran dengan tahu, tempe, dan siram dengan bumbu pecel. 5) Nikmati pecel dengan tambahan kecap tamari rendah sodium sebagai pemanis."""
"""Pepes Ikan Sehat""","""1) Ikan segar (jenis sesuai selera) 2) Bawang merah 3) Bawang putih 4) Cabai merah 5) Serai 6) Daun jeruk 7) Daun salam 8) Kecap tamari rendah sodium 9) Garam himalaya 10) Daun pisang""","""1) Bersihkan ikan dengan air mengalir, buang isi perut dan insangnya. 2) Haluskan bawang merah, bawang putih, cabai merah, dan serai menggunakan cobek atau blender. 3) Lumuri ikan dengan bumbu halus, tambahkan daun jeruk, daun salam, kecap tamari rendah sodium, dan sedikit garam himalaya. Diamkan ikan dalam bumbu selama 15–20 menit agar bumbu meresap. 4) Bungkus ikan dengan daun pisang, rapatkan dan kukus selama 30 menit hingga ikan matang sempurna. 5) Sajikan pepes ikan dengan nasi merah atau quinoa untuk pilihan lebih sehat."""
"""Perkedel Kentang Sehat""","""1) Kentang 2) Bawang putih 3) Bawang merah 4) Telur 5) Daun bawang 6) Garam himalaya 7) Merica 8) Minyak kelapa (untuk menumis atau memanggang) ""","""Rebus kentang hingga empuk, lalu kupas kulitnya dan haluskan kentang dengan menggunakan garpu atau alat penghancur kentang. 2) Tumis bawang putih dan bawang merah yang telah dicincang halus dengan sedikit minyak kelapa hingga harum. 3) Campurkan kentang halus, bawang yang sudah ditumis, telur, daun bawang cincang, garam himalaya, dan merica. Aduk rata hingga adonan bisa dibentuk. 4) Bentuk adonan menjadi bola-bola kecil atau bulatan pipih sesuai selera. 5) Panggang perkedel dalam wajan anti lengket dengan sedikit minyak kelapa hingga kecoklatan dan matang sempurna, atau gunakan metode air fryer untuk mengurangi minyak. 6) Angkat dan tiriskan, sajikan"""
"""Rawon Sehat""","""1) Daging sapi tanpa lemak 2) Bawang merah 3) Bawang putih 4) Jahe 5) Kunyit 6) Kemiri 7) Minyak zaitun atau minyak kelapa 8) Kaldu sapi 9) Daun salam 10) Daun jeruk 11) Kecap tamari rendah sodium 12) Nasi merah atau nasi kelapa 13) Bawang goreng rendah minyak ""","""1) Potong daging sapi tanpa lemak menjadi potongan kecil dan rebus dalam air hingga empuk. 2) Saring kaldu sapi dan sisihkan dagingnya. 3) Haluskan bawang merah, bawang putih, jahe, kunyit, dan sedikit kemiri menggunakan cobek atau blender. 4) Tumis bumbu halus dengan sedikit minyak zaitun atau minyak kelapa hingga harum. 5) Masukkan kaldu sapi, daun salam, daun jeruk, dan kecap tamari rendah sodium. 6) Tambahkan daging sapi yang sudah direbus ke dalam kaldu, masak dengan api kecil hingga bumbu meresap dan kuah mengental. 7) Sajikan rawon dengan nasi merah atau nasi kelapa, taburi dengan bawang goreng rendah minyak dan sambal sehat sebagai pelengkap."""
"""Rendang Sehat""","""Daging sapi tanpa lemak 2) Bawang merah 3) Bawang putih 4) Jahe 5) Kunyit 6) Serai 7) Santan rendah lemak 8) Kaldu sapi 9) Daun jeruk 10) Garam himalaya""","""1) Potong daging sapi tanpa lemak menjadi potongan kecil dan rebus dalam air hingga empuk. 2) Tumis bawang merah, bawang putih, jahe, kunyit, dan serai dengan sedikit minyak kelapa hingga harum. 3) Masukkan santan rendah lemak dan kaldu sapi ke dalam panci, lalu tambahkan daun jeruk. 4) Masukkan daging yang sudah direbus ke dalam panci dan masak dengan api kecil hingga kuah menyusut dan bumbu meresap. 5) Tambahkan garam himalaya sesuai selera dan masak hingga rendang mengental. 6) Sajikan rendang dengan nasi merah untuk pilihan lebih sehat"""
"""Salad Sayur Sehat""","""1) Sayuran segar (selada, tomat, timun) 2) Wortel 3) Kacang polong 4) Jagung manis 5) Minyak zaitun 6) Air jeruk nipis 7) Garam""","""1) Cuci bersih semua sayuran seperti selada, tomat, dan timun. Potong-potong sesuai selera. 2) Rebus wortel, kacang polong, dan jagung manis hingga matang. Tiriskan dan biarkan dingin. 3) Campurkan semua sayuran dan sayuran yang sudah direbus dalam mangkuk besar. 4) Tambahkan minyak zaitun, air jeruk nipis, dan sedikit garam. Aduk rata hingga semua bahan tercampur dengan baik. 5) Sajikan salad sayur sebagai lauk sehat atau camilan yang menyegarkan."""
"""Sate Ayam Sehat""","""Daging ayam tanpa kulit 2) Bawang merah 3) Bawang putih 4) Ketumbar 5) Kacang tanah 6) Kecap tamari rendah sodium 7) Santan rendah lemak 8) Minyak kelapa (untuk memanggang) ""","""1) Potong daging ayam tanpa kulit menjadi potongan kecil atau sesuai selera dan tusuk menggunakan tusukan sate. 2) Haluskan bawang merah, bawang putih, ketumbar, dan kacang tanah hingga halus. Campurkan bumbu dengan kecap tamari rendah sodium dan sedikit santan rendah lemak. 3) Lumuri ayam dengan bumbu tersebut dan diamkan selama 30 menit agar bumbu meresap. 4) Panggang sate ayam di atas pemanggang atau arang hingga matang dan sedikit kecoklatan, menggunakan sedikit minyak kelapa untuk memanggang. 5) Sajikan sate ayam dengan sambal kacang sehat (gunakan sedikit minyak dan gula kelapa) dan nasi merah atau nasi kelapa yang hangat."""
"""Sate Kambing Sehat""","""1) Daging kambing 2) Bawang merah 3) Bawang putih 4) Kecap manis 5) Ketumbar 6) Kacang tanah 7) Santan 8) Garam""","""1) Potong daging kambing menjadi potongan kecil dan tusuk menggunakan tusukan sate. 2) Haluskan bawang merah, bawang putih, ketumbar, dan kacang tanah. Campurkan dengan kecap manis dan sedikit santan. 3) Lumuri daging kambing dengan bumbu tersebut dan diamkan selama 30 menit. 4) Panggang sate kambing di atas pemanggang atau arang hingga matang dan sedikit kecoklatan. 5) Sajikan sate kambing dengan sambal kacang dan nasi putih yang hangat."""
"""Sayur Asem Sehat""","""1) Jagung manis 2) Labu siam 3) Kacang panjang 4) Bawang merah 5) Bawang putih 6) Cabai merah 7) Kemiri 8) Daun salam 9) Daun jeruk 10) Asam jawa 11) Garam himalaya 12) Gula kelapa 13) Minyak kelapa (untuk menumis) ""","""1) Rebus air dalam panci hingga mendidih, tambahkan jagung manis, labu siam, dan kacang panjang. 2) Tumis bawang merah, bawang putih, cabai merah, dan kemiri dengan sedikit minyak kelapa hingga harum. 3) Masukkan bumbu yang sudah ditumis ke dalam panci bersama dengan daun salam, daun jeruk, asam jawa, dan garam himalaya. 4) Rebus hingga sayuran matang dan kuah sedikit mengental. 5) Sesuaikan rasa dengan menambahkan gula kelapa dan sedikit garam jika diperlukan. 6) Sajikan sayur asem dengan nasi merah atau nasi kelapa."""
"""Sayur Sop Sehat""","""1) Sayuran (wortel, kentang, kacang polong) 2) Bawang putih 3) Bawang merah 4) Kaldu ayam 5) Daun seledri 6) Garam 7) Merica""","""1) Rebus wortel, kentang, dan kacang polong dalam air mendidih hingga setengah matang. 2) Tumis bawang putih dan bawang merah hingga harum. 3) Tambahkan kaldu ayam, sayuran yang sudah direbus, dan masak hingga sayuran empuk. 4) Tambahkan garam, merica, dan daun seledri. 5) Sajikan sop sayur dengan nasi putih atau roti."""
"""Soto Ayam Sehat""","""Ayam tanpa kulit 2) Bawang putih 3) Bawang merah 4) Jahe 5) Kunyit 6) Daun salam 7) Serai 8) Santan rendah lemak 9) Garam himalaya 10) Daun seledri 11) Nasi merah atau nasi kelapa ""","""1) Rebus ayam tanpa kulit dalam air hingga empuk, angkat dan suwir-suwir. 2) Tumis bawang putih, bawang merah, jahe, dan kunyit dengan sedikit minyak kelapa hingga harum. 3) Masukkan daun salam dan serai, tumis sebentar lalu tambahkan santan rendah lemak. 4) Masukkan ayam suwir ke dalam kuah, masak dengan api kecil hingga bumbu meresap. 5) Tambahkan garam himalaya dan daun seledri, masak sebentar. 6) Sajikan soto ayam dengan nasi merah atau nasi kelapa, sambal rendah sodium, dan perkedel sehat."""
"""Telur Balado Sehat""","""1) Telur 2) Bawang merah 3) Bawang putih 4) Cabai merah 5) Cabai rawit (opsional) 6) Minyak kelapa (untuk menumis) 7) Garam himalaya 8) Gula kelapa""","""1) Rebus telur hingga matang, kupas dan sisihkan. 2) Tumis bawang merah, bawang putih, cabai merah, dan cabai rawit (sesuai selera) dengan sedikit minyak kelapa hingga harum. 3) Haluskan bumbu tersebut dengan sedikit air atau kaldu rendah sodium. 4) Masukkan telur rebus ke dalam bumbu balado, aduk rata hingga bumbu meresap. 5) Tambahkan sedikit garam himalaya dan gula kelapa, masak sebentar hingga kuah bumbu mengental. 6) Sajikan telur balado dengan nasi merah atau nasi kelapa."""
"""Telur Dadar Sehat""","""1) Telur 2) Bayam, paprika, tomat (opsional) 3) Garam himalaya 4) Merica 5) Minyak kelapa atau minyak zaitun""","""1) Kocok telur dengan sedikit garam himalaya dan merica. 2) Tambahkan sayuran cincang halus seperti bayam, paprika, atau tomat ke dalam telur yang sudah dikocok. 3) Panaskan wajan anti lengket dengan sedikit minyak kelapa atau minyak zaitun. 4) Tuangkan campuran telur dan sayuran ke dalam wajan, ratakan, dan masak dengan api kecil hingga matang. 5) Lipat telur dadar menjadi setengah dan angkat. Sajikan telur dadar dengan nasi merah atau salad segar."""
"""Tumis Kangkung Sehat""","""1) Kangkung 2) Bawang putih 3) Bawang merah 4) Cabai merah (opsional) 5) Minyak kelapa (untuk menumis) 6) Garam himalaya 7) Kecap tamari rendah sodium 8) Air atau kaldu rendah sodium""","""1) Cuci bersih kangkung dan tiriskan. 2) Tumis bawang putih dan bawang merah dengan sedikit minyak kelapa hingga harum. 3) Masukkan cabai merah (opsional) dan tambahkan kangkung ke dalam wajan, aduk rata. 4) Tambahkan sedikit air atau kaldu rendah sodium, dan masak dengan api kecil hingga kangkung layu. 5) Beri garam himalaya dan sedikit kecap tamari rendah sodium, aduk rata dan masak sebentar. 6) Sajikan tumis kangkung sebagai lauk sehat."""
"""Tumis Kacang Panjang Tahu Sehat""","""1) Kacang panjang 2) Tahu 3) Bawang putih 4) Bawang merah 5) Cabai merah (opsional) 6) Minyak kelapa (untuk menumis) 7) Garam himalaya 8) Kecap tamari rendah sodium 9) Air atau kaldu rendah sodium""","""1) Potong-potong kacang panjang dan cuci bersih. 2) Potong tahu menjadi dadu kecil dan goreng dengan sedikit minyak kelapa hingga kecoklatan. Tiriskan. 3) Tumis bawang putih, bawang merah, dan cabai merah (opsional) dengan sedikit minyak kelapa hingga harum. 4) Masukkan kacang panjang dan aduk rata. Tambahkan sedikit air atau kaldu rendah sodium dan masak hingga kacang panjang setengah matang. 5) Tambahkan tahu yang sudah digoreng, garam himalaya, dan kecap tamari rendah sodium. Aduk rata dan masak sebentar hingga semua bahan matang. 6) Sajikan tumis kacang panjang tahu dengan nasi merah."""
